TITLE:       Long-term 30-day estimates of C20 from up to 8 SLR satellites                          
                                                                                                    
DESCRIPTION: Estimates of C20 and its variations relative to a reference value of -4.8416945732D-04.     
             Each estimate is based on 30-days of laser ranging from up to 8 satellites
             The epoch of each estimate is the mid-point of the 30-day span used.                   
             No de-aliasing or rate model has been applied. The series spans January                
             1976 to Present. The variations and the sigmas have been scaled                        
             by 1E10. The background model is described in the reference given below.               
             Both normalized and unnormalized values are provided for convenience.                  
                                                                                                    
CONTACT:     J. C. Ries                                                                             
             Center for Space Research                                                              
             The University of Texas at Austin                                                      
             Email: ries@csr.utexas.edu                                                             
                                                                                                    
REFERENCE:   Cheng, M., B. D. Tapley, and J. C. Ries (2013), "Deceleration in the Earth's           
             oblateness", J. Geophys. Res., doi:10.1002/jgrb.50058.                                 
                                                                                                    
   Year               C20         delta_C20  C20_sigma  delta_J2  J2_sigma  
  1976.04110   -4.8416958211E-04    -1.248    6.1182    3.2377   13.6807
  1976.12323   -4.8416927526E-04     1.821    4.8364   -3.6239   10.8145
  1976.20537   -4.8416953163E-04    -0.743    2.4302    2.1089    5.4341
  1976.28750   -4.8416969428E-04    -2.370    0.9276    5.7458    2.0742
  1976.36964   -4.8416975089E-04    -2.936    1.1782    7.0117    2.6345
  1976.45177   -4.8416975084E-04    -2.935    0.9234    7.0105    2.0648
  1976.53391   -4.8416975627E-04    -2.990    1.3970    7.1320    3.1238
  1976.61604   -4.8416981872E-04    -3.614    2.4495    8.5284    5.4772
  1976.69818   -4.8416987321E-04    -4.159    2.1199    9.7467    4.7402
  1976.78032   -4.8416962732E-04    -1.700    0.9418    4.2485    2.1059
  1976.86245   -4.8416969256E-04    -2.352    0.8156    5.7073    1.8237
  1976.94459   -4.8416956673E-04    -1.094    0.9356    2.8938    2.0921
  1977.02672   -4.8416951958E-04    -0.623    1.3605    1.8395    3.0422
  1977.10680   -4.8416959256E-04    -1.352    1.5672    3.4712    3.5044
  1977.18894   -4.8416981076E-04    -3.534    1.1002    8.3504    2.4601
  1977.27108   -4.8416974672E-04    -2.894    1.0551    6.9183    2.3593
  1977.35321   -4.8416968391E-04    -2.266    1.1491    5.5140    2.5695
  1977.43535   -4.8416948432E-04    -0.270    1.0387    1.0510    2.3226
  1977.51748   -4.8416996636E-04    -5.090    0.7266   11.8297    1.6247
  1977.59962   -4.8416979550E-04    -3.382    1.3747    8.0092    3.0739
  1977.68175   -4.8416974919E-04    -2.919    0.9708    6.9736    2.1708
  1977.76389   -4.8416998927E-04    -5.319    1.1515   12.3419    2.5748
  1977.84602   -4.8416984234E-04    -3.850    1.6936    9.0566    3.7870
  1977.92816   -4.8416958871E-04    -1.314    2.0210    3.3853    4.5191
  1978.01030   -4.8416964312E-04    -1.858    1.4055    4.6019    3.1428
  1978.09311   -4.8416953221E-04    -0.749    2.6640    2.1218    5.9569
  1978.17525   -4.8416963785E-04    -1.805    1.2432    4.4839    2.7799
  1978.25739   -4.8416960214E-04    -1.448    1.1390    3.6855    2.5469
  1978.33952   -4.8416957334E-04    -1.160    0.7976    3.0414    1.7835
  1978.42166   -4.8416967703E-04    -2.197    0.9981    5.3602    2.2318
  1978.50379   -4.8416994892E-04    -4.916    1.7244   11.4397    3.8559
  1978.58593   -4.8416979950E-04    -3.422    2.1472    8.0986    4.8013
  1978.66806   -4.8416986354E-04    -4.062    0.8930    9.5305    1.9968
  1978.75020   -4.8416981405E-04    -3.567    0.8832    8.4239    1.9749
  1978.83234   -4.8416981356E-04    -3.562    2.2079    8.4130    4.9370
  1978.91447   -4.8416964344E-04    -1.861    1.7379    4.6091    3.8861
  1978.99661   -4.8416960323E-04    -1.459    2.3406    3.7098    5.2337
  1979.07943   -4.8416957787E-04    -1.205    3.0389    3.1428    6.7952
  1979.16156   -4.8416959542E-04    -1.381    1.6898    3.5353    3.7785
  1979.24370   -4.8416951282E-04    -0.555    1.2111    1.6882    2.7081
  1979.32583   -4.8416958885E-04    -1.315    1.0434    3.3884    2.3331
  1979.40797   -4.8416957633E-04    -1.190    1.2159    3.1084    2.7188
  1979.49010   -4.8416965461E-04    -1.973    1.4214    4.8587    3.1783
  1979.57224   -4.8417000537E-04    -5.480    1.1112   12.7019    2.4847
  1979.65438   -4.8416986549E-04    -4.082    2.1590    9.5742    4.8277
  1979.73651   -4.8416976722E-04    -3.099    1.3576    7.3768    3.0357
  1979.81865   -4.8416955163E-04    -0.943    1.4132    2.5561    3.1600
  1979.90078   -4.8416970126E-04    -2.439    2.3376    5.9018    5.2270
  1979.98292   -4.8416963230E-04    -1.750    1.8245    4.3599    4.0797
  1980.06574   -4.8416947446E-04    -0.171    1.0509    0.8304    2.3499
  1980.14787   -4.8416946333E-04    -0.060    1.5785    0.5816    3.5296
  1980.23001   -4.8416954870E-04    -0.914    1.2670    2.4905    2.8331
  1980.31214   -4.8416960788E-04    -1.506    0.9464    3.8138    2.1162
  1980.39428   -4.8416957879E-04    -1.215    0.9147    3.1634    2.0453
  1980.47641   -4.8416977032E-04    -3.130    1.2255    7.4462    2.7403
  1980.55855   -4.8416980144E-04    -3.441    0.8268    8.1420    1.8488
  1980.64069   -4.8416972883E-04    -2.715    0.7584    6.5184    1.6958
  1980.72282   -4.8416972912E-04    -2.718    0.8235    6.5248    1.8414
  1980.80496   -4.8416981511E-04    -3.578    0.7849    8.4477    1.7551
  1980.88709   -4.8416971891E-04    -2.616    0.8275    6.2966    1.8503
  1980.96923   -4.8416952602E-04    -0.687    1.4966    1.9835    3.3465
  1981.04931   -4.8416959913E-04    -1.418    1.6534    3.6182    3.6971
  1981.13144   -4.8416950276E-04    -0.454    1.1412    1.4633    2.5518
  1981.21358   -4.8416953547E-04    -0.781    1.1038    2.1946    2.4682
  1981.29572   -4.8416959001E-04    -1.327    1.1107    3.4143    2.4836
  1981.37785   -4.8416966953E-04    -2.122    1.2137    5.1923    2.7139
  1981.45999   -4.8416960280E-04    -1.455    1.0337    3.7003    2.3114
  1981.54212   -4.8416976844E-04    -3.111    0.9578    7.4040    2.1417
  1981.62426   -4.8416961533E-04    -1.580    1.0206    3.9804    2.2821
